keys,en
AREA.TEST.AREA_BX,"Area Bravo X-ray"
AREA.TEST.CANYON,"Canyon"
AREA.UNKNOWN,"???"
BUTTON.ACCESSIBILITY,"Accessibility settings"
BUTTON.ADVANCED,"Advanced settings"
BUTTON.AUDIO,"Audio settings"
BUTTON.BACK,"Go back"
BUTTON.CONTINUE_GAME,"Continue"
BUTTON.CONTROLS,"Controls"
BUTTON.CREDITS,"Credits"
BUTTON.DEBUG.FLUSH_NIGHTSCRIPT_CACHE,"Flush NightScript cache (debug)"
BUTTON.DEBUG.LOAD_CHECKPOINT,"Load last checkpoint (debug)"
BUTTON.DEBUG.QUICK_LOAD,"Quick load (debug)"
BUTTON.DEBUG.QUICK_SAVE,"Quick save (debug)"
BUTTON.DISPLAY,"Display settings"
BUTTON.GAME_OVER_CONTINUE,"Continue"
BUTTON.GAME_OVER_QUIT,"Quit"
BUTTON.LANGUAGE,"Language settings"
BUTTON.NEW_GAME,"New game"
BUTTON.QUIT_GAME,"Quit"
BUTTON.QUIT_TO_TITLE,"Quit"
BUTTON.RESET_CONTROLS,"Reset controls"
BUTTON.RESULTS_CONTINUE,"Continue"
BUTTON.RESUME_GAME,"Continue"
BUTTON.SETTINGS,"Settings"
CARD.ACCESSIBILITY,"Accessibility Settings"
CARD.ADVANCED,"Advanced Settings"
CARD.AUDIO,"Audio Settings"
CARD.CONTROLS,"Controls"
CARD.DISPLAY,"Display Settings"
CARD.GAME_OVER,"Game Over"
CARD.LANGUAGE,"Language Settings"
CARD.PAUSE,"Paused"
CARD.RESULTS,"Results"
CARD.SETTINGS,"Settings"
CHECKBOX.ACCESSIBILITY.LEGIBLE_FONT,"Use legible font"
CHECKBOX.ACCESSIBILITY.NEVER_GAME_OVER,"Never game over"
CHECKBOX.ADVANCED.CHECKSUM_SAVES,"Use checksum on save files"
CHECKBOX.ADVANCED.COMPRESS_SAVES,"Compress save files"
CHECKBOX.DEBUG.OPTIMIZE_NIGHTSCRIPT,"Optimize NightScript (debug)"
CHECKBOX.DISPLAY.DISPLAY_BARKS,"Display bark subtitles"
CHECKBOX.DISPLAY.FULLSCREEN,"Fullscreen"
CHECKBOX.DISPLAY.PIXEL_SNAP,"Use pixel snapping"
CHECKBOX.DISPLAY.VSYNC,"Use vsync"
CONTROL.ACTION.CHANGE_PLAYER,"Change player"
CONTROL.ACTION.INTERACT,"Interact"
CONTROL.ACTION.MOVE_DOWN,"Move down"
CONTROL.ACTION.MOVE_LEFT,"Move left"
CONTROL.ACTION.MOVE_RIGHT,"Move right"
CONTROL.ACTION.MOVE_UP,"Move up"
CONTROL.ACTION.PAUSE,"Pause"
CONTROL.ACTION.TOGGLE_FULLSCREEN,"Toggle fullscreen"
CONTROL.WAIT,"Press any input..."
DIALOG.TEST.LASER_TERMINAL.OPTION.CANCEL,"Cancel"
DIALOG.TEST.LASER_TERMINAL.OPTION.REDIRECT,"Redirect barriers"
DIALOG.TEST.LASER_TERMINAL.PROMPT,"Redirect barriers?"
DIALOG.TEST.LASER_TERMINAL.REDIRECTED,"Barriers redirected!"
DIALOG.TEST.SAVE_TERMINAL.MAIN,"It's a save terminal.{p=0.5} Do you want to save your progress?"
DIALOG.TEST.SAVE_TERMINAL.OPTION.NO_SAVE,"Do not save"
DIALOG.TEST.SAVE_TERMINAL.OPTION.SAVE,"Save progress"
DIALOG.TEST.SAVE_TERMINAL.REPEAT,"Do you want to save your progress?"
DIALOG.TEST.SAVE_TERMINAL.SAVED,"Your progress has been saved!"
DIALOG.TEST.UNLOCK_TERMINAL.LOCKED,"Annex locked!"
DIALOG.TEST.UNLOCK_TERMINAL.OPTION.CANCEL,"Cancel"
DIALOG.TEST.UNLOCK_TERMINAL.OPTION.LOCK,"Lock annex"
DIALOG.TEST.UNLOCK_TERMINAL.OPTION.UNLOCK,"Unlock annex"
DIALOG.TEST.UNLOCK_TERMINAL.PROMPT_LOCK,"West annex is unlocked.{p=0.5}\nLock annex?"
DIALOG.TEST.UNLOCK_TERMINAL.PROMPT_UNLOCK,"West annex is locked.{p=0.5}\nUnlock annex?"
DIALOG.TEST.UNLOCK_TERMINAL.UNLOCKED,"Annex unlocked!"
ERR.CODE.ALREADY_EXISTS,"Already exists"
ERR.CODE.ALREADY_IN_USE,"Already in use"
ERR.CODE.BUG,"Bug"
ERR.CODE.BUSY,"Busy"
ERR.CODE.CANT_ACQUIRE_RESOURCE,"Can't acquire resource"
ERR.CODE.CANT_CONNECT,"Can't connect"
ERR.CODE.CANT_CREATE,"Can't create"
ERR.CODE.CANT_FORK,"Can't fork process"
ERR.CODE.CANT_OPEN,"Can't open"
ERR.CODE.CANT_RESOLVE,"Can't resolve"
ERR.CODE.COMPILATION_FAILED,"Compilation failed"
ERR.CODE.CONNECTION_ERROR,"Connection error"
ERR.CODE.CYCLIC_LINK,"Cyclic link"
ERR.CODE.DATABASE_CANT_READ,"Can't read database"
ERR.CODE.DATABASE_CANT_WRITE,"Can't write database"
ERR.CODE.DOES_NOT_EXIST,"Does not exist"
ERR.CODE.DUPLICATE_SYMBOL,"Duplicate symbol"
ERR.CODE.FAILED,"Failed"
ERR.CODE.FILE_ALREADY_IN_USE,"File already in use"
ERR.CODE.FILE_BAD_DRIVE,"Bad file drive"
ERR.CODE.FILE_BAD_PATH,"Bad file path"
ERR.CODE.FILE_CANT_OPEN,"Can't open file"
ERR.CODE.FILE_CANT_READ,"Can't read file"
ERR.CODE.FILE_CANT_WRITE,"Can't write file"
